"reviewId","userName","userImage","content","score","thumbsUpCount","reviewCreatedVersion","at","replyContent","repliedAt","appVersion"
"4f0852ca-4a46-45db-b76f-e36373026cd5","Auri","https://play-lh.googleusercontent.com/a-/ALV-UjWu5LcNvvGOSIW55XCOlAaSxAq-w2Az8APPlw24SBJ9icF1zLVn","Sekarang kok wa banyak bug sama sering error?? Padahal selalu update,bersihin cache,penyimpanan juga masih ada banyak. Selain itu juga setiap bikin sw vidio/foto pasti yg tadinya HD jadi ga HD.","1","11","2.24.8.85","2024-04-28 15:32:04","","","2.24.8.85"
"7c3678be-d27a-4821-8bb2-d49ab0ba96a7","Muhammad Irvan","https://play-lh.googleusercontent.com/a/ACg8ocLkvUPLFOd57z-wvyBKL8vC4oD-2iJ-KLvhbwv5q00scuBwpw=mo","woii samlekom. tolong admin WhatsApp, balikin emot vesmett kuningnya yaaa, tolong banget minta tolong balikin emot vesmet kuning, jangan biru gitu jelek. ceweku maunya vesmet yang kuningg, bukan biru jelek. nanti kalo sudah balikin jadi kuning aku ratt 5 bintang, oke trima suwun WhatsApp","1","0","","2024-04-28 15:31:21","","",""
"3a812337-08cf-4a39-a2ae-5e9673bc545d","Yayanagus Agus","https://play-lh.googleusercontent.com/a/ACg8ocJ5-LkD3xoeCmFUf-C52ofZCejmYgZE1SIvYU_JapvVq0CQ7A=mo","Bagus","5","0","2.24.8.85","2024-04-28 15:31:02","","","2.24.8.85"
"db38ab7b-261d-4526-8b70-72c60af2b4af","Vherdy Michael","https://play-lh.googleusercontent.com/a-/ALV-UjXDbdAzQ9CoRE5HQ7uOwajvDdLEoKEQIyd_dX5SC7l46yUt5Hex","Mantap","5","0","2.24.8.85","2024-04-28 15:30:23","","","2.24.8.85"
"fd82e239-1200-4b33-99bb-9d529361a237","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Great. Excellent. Good!!!","2","0","2.24.8.85","2024-04-28 15:29:30","","","2.24.8.85"
"dd6bc554-ff52-4411-b991-0c2f53a648eb","Sumarno","https://play-lh.googleusercontent.com/a/ACg8ocK2f1WkmAnfeq7r5q98nO7X-ctW9ZQCYXBDmzbm5-rtaNZQ3Q=mo","Ok","5","0","2.24.8.85","2024-04-28 15:29:02","","","2.24.8.85"
"60e762cc-f70b-4225-bfa0-ff172e777a69","Wii Yeager","https://play-lh.googleusercontent.com/a-/ALV-UjX07aV3DOWFKvDy3Y-hIWYF4bfIFCvlP0m0_och00W3GQ-cOn45","oi saya tidak melanggar peraturan tapi kenapa saya terkena blokir terus )","5","0","2.23.3.77","2024-04-28 15:27:08","","","2.23.3.77"
"cf4c42d4-9bf3-4250-bdda-963f366a3c4c","Gian To","https://play-lh.googleusercontent.com/a/ACg8ocKdqWiYqC-mI9O8YqyH0kKVdngiNkm9cWVxn8lRv8CcYZ4NVQ=mo","Baik dan terima kasih wa","5","0","2.24.9.15","2024-04-28 15:26:38","","","2.24.9.15"
"1597d320-1546-4d0b-8cb1-f5ae6562778c","Refiansyah","https://play-lh.googleusercontent.com/a-/ALV-UjUPMvmgNhYysbGRvCxf9lJoMw05_Ki3Vs6CiOykTgd215Cf-IiS","Tidak Bisa dicadangkan, gagal Tidak ada solusi","1","0","2.24.8.85","2024-04-28 15:26:14","","","2.24.8.85"
"876bd477-0ee7-41de-9176-18efbd94e3d6","Aak Abang","https://play-lh.googleusercontent.com/a/ACg8ocI_fIDrEbEqvKePKi-bDcD4J0cC-Bxc-ATLawvfMK9NcAvrMw=mo","I love you","5","0","2.24.8.85","2024-04-28 15:24:59","","","2.24.8.85"
